0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
2981;1733;Carolus van Heusden;Anna Frederica Husson;Carolus van Heusden & Anna Frederica Husson;;;;;;;;;;;;;;;;;;;;;;;;
2982;1733;Carolus van Heusden;Anna Frederica Husson;Carolus van Heusden & Anna Frederica Husson;;Amsterdam;H.T. Heymannus ;;;;;;;;;;;;;;;;;;;;;
2983;1733;Carolus van Heusden;Anna Frederica Husson;Carolus van Heusden & Anna Frederica Husson;;Haarlem;J.M. Wolffganck ;;;;;;;;;;;;;;;;;;;;;
2984;1733;Gerrit Blaaupot;Paulina de Bosch;Gerrit Blaaupot & Paulina de Bosch;;Bennebroek;Bernardus de Bosch ;Tileman Tamé ;Hendrik Post ;Johannes Meyer ;Abraham de Haen (1707-1748);Lucas Pater ;Dirk Cloes Lutkeman ;Abraham Meylincq ;A.J. Westerhoff ;Dirk van Beek ;J.B.;P.S.;;;;;;;;;;
2985;1733;Henricus (1706-1790) Fagel;Catharina Anna Sluysken;Henricus (1706-1790) Fagel & Catharina Anna Sluysken;;Middelburg;Franciscus Ludovicus Piazzoll ;;;;;;;;;;;;;;;;;;;;;
2986;1733;Herman Kaau Boerhaave;Alida Jacoba Coelemey;Herman Kaau Boerhaave & Alida Jacoba Coelemey;;Amsterdam;Hubert Gregorius van Vryhoff ;;;;;;;;;;;;;;;;;;;;;
2987;1733;Vincent van Eyck;Katharina Hofkens;Vincent van Eyck & Katharina Hofkens;;Amsterdam;Arnoldus Henricus Westerhovius ;Pierre Barthe ;Magdalena Hofkens ;Kornelis Willemsz Westerbaen ;Willem Kroon ;;;;;;; ;;;;;;;;;;
2988;1733;Jan van Wageningen;Margareta Vertole;Jan van Wageningen & Margareta Vertole;;Amsterdam;Segert Blankert ;;;;;;;;;;;;;;;;;;;;;
2989;1733;Jan van Lokhorst;Maria Mesch;Jan van Lokhorst & Maria Mesch;;Amsterdam;Adriaan van der Vliet ;Michiel van Kouwenberg ;;;;;;;;;;;;;;;;;;;;
2990;1734;Arnold Boonen;Johanna Beun;Arnold Boonen & Johanna Beun;;Amsterdam;Gerard Clemens ;Jan van der Souw ;Isaac Boonen ;Jacob Nebbens ;Pieter Langendyk ;Jan de Marre ;Lucas Pater ;Jan Luyken ;Abraham Meylincq ;J.W. Hazebroek ;;;;;;;;;;;;
2991;1734;Arnoldus Francken;Elizabeth de Leus;Arnoldus Francken & Elizabeth de Leus;;Amsterdam;J. Francken ;Jan Geldorp ;Jan Luyken ;Govert Klinkhamer ;;;;;;;;;;;;;;;;;;
2992;1734;Jan Erkelens;Johanna Cornelia van Overveld;Jan Erkelens & Johanna Cornelia van Overveld;;Den Haag;Jan de Marre ;Jacques Crenier ;Joan onder de Linden ;;;;;;;;;;;;;;;;;;;
2993;1734;Cornelis Mosis;Neeltje de Groot;Cornelis Mosis & Neeltje de Groot;;Haarlem;G. J.V.W. Mosis ;P. Mosis ;;;;;;;;;;;;;;;;;;;;
2994;1734;Isaac van der Mijn;Johanna van Velsen;Isaac van der Mijn & Johanna van Velsen;;;S. B.M.M.R.H.S.D.H.L.;;;;;;;;;;;;;;;;;;;;;
2995;1734;Pieter Henry;Johanna Catharina Adriana Guillermet;Pieter Henry & Johanna Catharina Adriana Guillermet;;Tiel;M. J.B.J. Henry ;P. Auxberbis ;;;;;;;;;;;;;;;;;;;;
2996;1734;Charle Chais;Wilhelmina Anthonia Paauw;Charle Chais & Wilhelmina Anthonia Paauw;;Tiel;A. Kuypers ;;;;;;;;;;;;;;;;;;;;;
2997;1734;Jan Vischer;Catharina Nunninck;Jan Vischer & Catharina Nunninck;;Tiel;;;;;;;;;;;;;;;;;;;;;;
2998;1734;Michiel Hendrik Callenfels;Anna Du Bois;Michiel Hendrik Callenfels & Anna Du Bois;;Broek in Waterland;Christiaan Schaaf ;Petrus Wilhelmus Callenfels ;Adam Laurens Callenfels ;O. Callenfels ; ;;;;;;;;;;;;;;;;;
2999;1734;Joannes Philippus Scheidius;Agneta Konynenberg;Joannes Philippus Scheidius & Agneta Konynenberg;;Broek in Waterland;Izaak Du Sart ;Izaak (Jr) Sart ;Marten Gerritsz Konynenberg ;;;;;;;;;;;;;;;;;;;
3000;1734;Adriaan Zeger Basen;Maria Arent;Adriaan Zeger Basen & Maria Arent;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
3001;1734;George Harmes;Petronella Elisabeth Koolaert;George Harmes & Petronella Elisabeth Koolaert;;Broek in Waterland;Elisabeth Hoofman (wed. Koolaert) ;Hester Zimmerman Koolaert ;;;;;;;;;;;;;;;;;;;;
3002;1734;Nikolaes van der Schatte;Martina Schuerbeque;Nikolaes van der Schatte & Martina Schuerbeque;;Broek in Waterland;Nikolaes Versteeg ;;;;;;;;;;;;;;;;;;;;;
3003;1734;Cornelis Steen;Geertruyd Debora van der Valk;Cornelis Steen & Geertruyd Debora van der Valk;;Leiden;J.E. van der Valk ;;;;;;;;;;;;;;;;;;;;;
3004;1734;Arnold van Aalst;Margareta Sophia Raap;Arnold van Aalst & Margareta Sophia Raap;;Amsterdam;H.B. van Aalst ;P. Raap ;Hermanus van den Burg ;;;;;;;;;;;;;;;;;;;
3005;1734;Adrianus van Royen;Adriana Johanna Wesselius;Adrianus van Royen & Adriana Johanna Wesselius;;Middelburg;Herman Boerhaave ;David van Royen ;Franciscus van Oudendorp ;Hendrik Snakenburg ;;;;;;;;;;;;;;;;;;
3006;1734;Adriaan van Schuylenburch;Catharina van Bleiswyk;Adriaan van Schuylenburch & Catharina van Bleiswyk;;Amsterdam;François van Bleiswyk ;;;;;;;;;;;;;;;;;;;;;
3007;1734;Joannes Badon;Klara Ghyben;Joannes Badon & Klara Ghyben;;Amsterdam;Joannes Badon ;Klara Ghyben ;Anna Zeeman ;Johannes Petraeus ;Jacobus Targier ;Adriaan van der Vliet ;;;;;;;;;;;;;;;;
3008;1734;Pieter baron van Wassenaar van Starrenburg;Anna Arnoudina van den Boetzelaer;Pieter baron van Wassenaar van Starrenburg & Anna Arnoudina van den Boetzelaer;;Amsterdam;P. Hes ;;;;;;;;;;;;;;;;;;;;;
3009;1734;Isaäc Peny;Susanna Barbara Tresel;Isaäc Peny & Susanna Barbara Tresel;;Amsterdam;Jacobus Willemsen ;;;;;;;;;;;;;;;;;;;;;
3010;1735;Benjamin Ruhof;Femeja Tielens;Benjamin Ruhof & Femeja Tielens;;;J. Tielens ;;;;;;;;;;;;;;;;;;;;;
3011;1735;Abraham Follé;Johanna Maria de Hondekoeter;Abraham Follé & Johanna Maria de Hondekoeter;;Delft;;;;;;;;;;;;;;;;;;;;;;
3012;1735;Abraham Follé;Johanna Maria de Hondekoeter;Abraham Follé & Johanna Maria de Hondekoeter;;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
3013;1735;Cornelis Ploos van Amstel;Margaretha Magdalena Nessing;Cornelis Ploos van Amstel & Margaretha Magdalena Nessing;;Utrecht;Jan Nessing ;J. van Lohoff ;Jacob Jacobsz Ploos van Amstel ;Abraham Rokogh van de Erbervelt ;Johannes Moesel ;Willem Kroon ;Lambert van den Broek ;Harmanus Volkmar ;Jan Volkmar ;Matheus de Ruuscher ;;;;;;;;;;;;
3014;1735;Jacob Jansz Boreel;Agneta Margareta Munter;Jacob Jansz Boreel & Agneta Margareta Munter;;Amsterdam;Adolph Sluyter ;;;;;;;;;;;;;;;;;;;;;
3015;1735;Jacobus van der Puyé;Apolonia van de Groenewal;Jacobus van der Puyé & Apolonia van de Groenewal;;Rotterdam;Nicolaus d' Assonville ;;;;;;;;;;;;;;;;;;;;;
3016;1735;Gerardus van Lier;Elizabet van Breenen;Gerardus van Lier & Elizabet van Breenen;;Rotterdam;Kornelis van Slingeland ;;;;;;;;;;;;;;;;;;;;;
3017;1735;Samuel Tak;Anna van Hoorn;Samuel Tak & Anna van Hoorn;;Noordgouwe;Balduinus Dobbelaer ;Adriaan Tak ;;;;;;;;;;;;;;;;;;;;
3018;1735;Gerard Aemilius van Hoogeveen;Maria Jacoba van Schoonhoven;Gerard Aemilius van Hoogeveen & Maria Jacoba van Schoonhoven;;Rotterdam;Thymon van Schoonhoven ;;;;;;;;;;;;;;;;;;;;;
3019;1735;Gerard Aemilius van Hoogeveen;Maria Jacoba van Schoonhoven;Gerard Aemilius van Hoogeveen & Maria Jacoba van Schoonhoven;;Delft;David van Royen ;;;;;;;;;;;;;;;;;;;;;
3020;1735;Mattheus Sonnemaens;Geertruid van Helsdingen;Mattheus Sonnemaens & Geertruid van Helsdingen;;;Johannes Petraeus ;Abraham van Helsdingen ;;;;;;;;;;;;;;;;;;;;
3021;1735;Willem Gerard Sandt;Maria van der Valk;Willem Gerard Sandt & Maria van der Valk;;;Nikolaes Versteeg ;Frans de Haes ;;;;;;;;;;;;;;;;;;;;
3022;1735;Willem Gerard Sandt;Maria van der Valk;Willem Gerard Sandt & Maria van der Valk;;Gouda;;;;;;;;;;;;;;;;;;;;;;
3023;1735;Nicolaes van Duyfhuis;Anthonia Roetringh;Nicolaes van Duyfhuis & Anthonia Roetringh;;Gotenburg;B. Walevelt ;;;;;;;;;;;;;;;;;;;;;
3024;1736;Gerard Schot;Suzanna van Rein;Gerard Schot & Suzanna van Rein;;Amsterdam;Nikolaes Versteeg ;Frans de Haes ;;;;;;;;;;;;;;;;;;;;
3025;1736;Pieter Fontein;Jozina Stol;Pieter Fontein & Jozina Stol;;Amsterdam;Pieter van der Schelling ;Dirk Smits ;Pieter Langendyk ;Josua van der Poorten ;A. van Vollenhoven ;;;;;;; ;;;;;;;;;;
3026;1736;Hendrik van Santen;Catharina Timmerman;Hendrik van Santen & Catharina Timmerman;;Wormer;Pieter Timmerman ;H. van Santen ;Arnold Rotterdam ;;;;;;;;;;;;;;;;;;;
3027;1736;Johan Lillie;Elizabeth Goske;Johan Lillie & Elizabeth Goske;;Amsterdam;Adrianus. van Bleiswyk ;;;;;;;;;;;;;;;;;;;;;
3028;1736;Bartolomeus Standaart;Maria de Loos;Bartolomeus Standaart & Maria de Loos;;;Jan Snauwaardt ;;;;;;;;;;;;;;;;;;;;;
3029;1736;Johannes Matroos;Eleonora Brandt;Johannes Matroos & Eleonora Brandt;;Amsterdam;Frans de Haes ;;;;;;;;;;;;;;;;;;;;;
3030;1736;Jacob van de Wall;Margarita Elisabeth Eelbo;Jacob van de Wall & Margarita Elisabeth Eelbo;;Amsterdam;Johannes Petraeus ;Joannes Badon ;Klara Ghyben ;Joannes van Braam ;Aegidius Petraeus ;Segert Blankert ;;;;;;;;;;;;;;;;
3031;1736;Henricus van Dobben;Geertrui Bock;Henricus van Dobben & Geertrui Bock;;Amsterdam;Dirk Smits ;Nikolaes Versteeg ;;;;;;;;;;;;;;;;;;;;
3032;1736;Jan Stockelaar;Aletta van Rextel;Jan Stockelaar & Aletta van Rextel;;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
3033;1736;Gysbert Karel van Hogendorp;Cornelia Jannetta van Hoey;Gysbert Karel van Hogendorp & Cornelia Jannetta van Hoey;;Amsterdam;Adriaan Heckenhoek ;;;;;;;;;;;;;;;;;;;;;
3034;1736;Jacob van Hoorn;Berdina Dobbelaer;Jacob van Hoorn & Berdina Dobbelaer;;Haarlem;Boudewijn Dobbelaer ;;;;;;;;;;;;;;;;;;;;;
3035;1736;Jacob van Hoorn;Berdina Dobbelaer;Jacob van Hoorn & Berdina Dobbelaer;;Amsterdam;Jan Snauwaardt ;Adriaen Tak ;;;;;;;;;;;;;;;;;;;;
3036;1736;Thomas Walton;Maria Flament;Thomas Walton & Maria Flament;;;;;;;;;;;;;;;;;;;;;;;;
3037;1736;Nicolaus van Bronkhorst;Cornelia ter Borch;Nicolaus van Bronkhorst & Cornelia ter Borch;;Amsterdam;Gerard Moll ;;;;;;;;;;;;;;;;;;;;;
3038;1736;Ysbrand Vollenhoven;Neeltje van der Haar;Ysbrand Vollenhoven & Neeltje van der Haar;;;J. de Wilde ;Cornelis de Wolff ;Hendrik Pieterson ;J. de Wilde (Jr) ;Johannes Rotterdam ;;;;;;; ;;;;;;;;;;
3039;1737;Gerard Beelaerts;Cornelia Eliana Scott;Gerard Beelaerts & Cornelia Eliana Scott;;;Joannes van Braam ;Diederik Steenwinkel ;;;;;;;;;;;;;;;;;;;;
3040;1737;Everhard Joannes van Dam;Conradina Wilhelmina van Zuylen van Nievelt;Everhard Joannes van Dam & Conradina Wilhelmina van Zuylen van Nievelt;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
3041;1737;Arnout Wilhemsz van Citters;Sara Jacoba Ockersse;Arnout Wilhemsz van Citters & Sara Jacoba Ockersse;;;Jacob Voordaag ;;;;;;;;;;;;;;;;;;;;;
3042;1737;Arnout Wilhemsz van Citters;Sara Jacoba Ockersse;Arnout Wilhemsz van Citters & Sara Jacoba Ockersse;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
3043;1737;Jan Henrick de Roo;Johanna Onderwater;Jan Henrick de Roo & Johanna Onderwater;;Amsterdam;Pieter Hoeufft ;;;;;;;;;;;;;;;;;;;;;
3044;1737;Johannes Huisinga;Wyva Agneta Driessen;Johannes Huisinga & Wyva Agneta Driessen;;Tholen;Johannes Petrus Driessen ;Wilhelmus van Ysselstein ;;;;;;;;;;;;;;;;;;;;
3045;1737;Anthony Christiaan Muller;Eva Huytingh;Anthony Christiaan Muller & Eva Huytingh;;Haarlem;M.C. G.F. Huytingh ;Gerrit Muller ;Stephanus Opterbeek ;;;;;;;;;;;;;;;;;;;
3046;1737;Jan Jacob Hartsinck;Geertruy Catharina Sweedenryk;Jan Jacob Hartsinck & Geertruy Catharina Sweedenryk;;;Jacob Voordaag ;Jan de Marre ;Henrik van Elvervelt ;;;;;;;;;;;;;;;;;;;
3047;1737;Franciscus Burman (1708-1793);Anna Geertruyda van Leeuwen;Franciscus Burman (1708-1793) & Anna Geertruyda van Leeuwen;;Overveen;Joannes Arntzenius ;;;;;;;;;;;;;;;;;;;;;
3048;1737;Jacobus Du Marchié;Catharina Debora Sarvaas;Jacobus Du Marchié & Catharina Debora Sarvaas;;Utrecht;Casparus Henricus van Heimenberg ;Jan Abrahamsz Sarvaas ;Jan van Leeuwen ;;;;;;;;;;;;;;;;;;;
3049;1737;Joris van der Woude;Gesina Brink;Joris van der Woude & Gesina Brink;;Amsterdam;I. F.V.L. Brink ;J. Baarenbroek ;Marten J.R. Smets ;I.Wz Brink ; ;;;;;;;;;;;;;;;;;
3050;1737;Joannes van Eyken;Susanna Vermeulen;Joannes van Eyken & Susanna Vermeulen;;Haarlem;Johannes Schardam ;;;;;;;;;;;;;;;;;;;;;
3051;1737;Pieter Georgius Dryfhout;Johanna Willemina Houttuyn;Pieter Georgius Dryfhout & Johanna Willemina Houttuyn;;Amsterdam;Carel Johan Houttuyn ;;;;;;;;;;;;;;;;;;;;;
3052;1737;Nicolaas de Mortier;Barbara Strockel;Nicolaas de Mortier & Barbara Strockel;;Amsterdam;Wolferdina Elisabeth Ojers ;Pieter de Mortier ;Jan Jacob Ojers ;Gerrit Coenraad Ojers ;Govert Klinkhamer ;;;;;; ; ;;;;;;;;;;
3053;1737;Jan Jacobsz van Ommering;Maria Anna Granpré;Jan Jacobsz van Ommering & Maria Anna Granpré;;Rotterdam;Adriaan Jacobsz van Ommering ;;;;;;;;;;;;;;;;;;;;;
3054;1738;Cornelis Vrolikhert;Petronella van Haarlem;Cornelis Vrolikhert & Petronella van Haarlem;;;Pieter Hoeufft ;Paulus Berkhout ;J. Reepmaker ;Godewardus Vrolikhert ;Kornelis Boon van Engelant ;Jan Willem van Steenbergen ;Kornelis van Slingeland ;Segert Blankert ;;;;;;;;;;;;;;
3055;1738;Lambertus Mulder;Margareta van de Moesel;Lambertus Mulder & Margareta van de Moesel;;Delft;Dirk Smits ;;;;;;;;;;;;;;;;;;;;;
3056;1738;Abraham van Wyn;Margareta van Dyk;Abraham van Wyn & Margareta van Dyk;;Amsterdam;Johannes van Dyk;Johannes Wassenaar ;;;;;;;;;;;;;;;;;;;;
3057;1738;Pieter Tobyassen Wulphert;Elizabeth de Geiter;Pieter Tobyassen Wulphert & Elizabeth de Geiter;;Utrecht;;;;;;;;;;;;;;;;;;;;;;
3058;1738;Bernard Mauritz;Johanna van Doorn;Bernard Mauritz & Johanna van Doorn;;Utrecht;Gerhard Mauritz ;;;;;;;;;;;;;;;;;;;;;
3059;1738;Cornelis van Citters;Anna Christina de Bye;Cornelis van Citters & Anna Christina de Bye;;Leiden;Nicolaas van der Dussen ;;;;;;;;;;;;;;;;;;;;;
3060;1738;Cornelis van Citters;Anna Christina de Bye;Cornelis van Citters & Anna Christina de Bye;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
3061;1738;Cornelis van Citters;Anna Christina de Bye;Cornelis van Citters & Anna Christina de Bye;;Middelburg;Johannes Nicolaas Treytel ;;;;;;;;;;;;;;;;;;;;;
3062;1738;Pieter Pielat;Johanna Grindet;Pieter Pielat & Johanna Grindet;;;Jan Huibert Jungius ;;;;;;;;;;;;;;;;;;;;;
3063;1738;Paulus Lublink;Anna Helt;Paulus Lublink & Anna Helt;;Amsterdam;J.C.W. J.V.D.B.;Nicolaas Lublink ;;;;;;;;;;;;;;;;;;;;
3064;1738;Michiel Adriaensz van den Berg;Kornelia Grimes;Michiel Adriaensz van den Berg & Kornelia Grimes;;;Willem de Roo ;Michiel van Kouwenberg ;Adriaan van der Vliet ;;;;;;;;;;;;;;;;;;;
3065;1738;Nicolaas Ris van Ryneveld;Jacoba Elisabeth Blondeel;Nicolaas Ris van Ryneveld & Jacoba Elisabeth Blondeel;;Echten;Jan Oldenhoven van Ryneveld ;Valentijn Jan Blondeel ;Hendrik Schim ;Bernhardus Pagenstecher ;;;;;;;;;;;;;;;;;;
3066;1738;Paulus Hoyer van Brakel;Anna Mulder;Paulus Hoyer van Brakel & Anna Mulder;;Rotterdam;P. de Vaynes van Brakel ;;;;;;;;;;;;;;;;;;;;;
3067;1738;Nicolaas Londt;Catharina van Doornum;Nicolaas Londt & Catharina van Doornum;;;H. van Doornum ;;;;;;;;;;;;;;;;;;;;;
3068;1738;Andries Westerwyk Forsborgh;Susanna Magdalena Haak Kerkman;Andries Westerwyk Forsborgh & Susanna Magdalena Haak Kerkman;;;Abraham Tersier ;Jan Huibert Jungius ;A.S. Haak ;Gerardus Noest ;Joan Bols ten Oever ;;;;;;; ;;;;;;;;;;
3069;1738;Michiel van Bolhuis;Alegonde Beckeringh;Michiel van Bolhuis & Alegonde Beckeringh;;;Adrianus Hector Walter de Vriese ;;;;;;;;;;;;;;;;;;;;;
3070;1739;Dirk van Lobbrecht;Jakoba Christina van Poolsum;Dirk van Lobbrecht & Jakoba Christina van Poolsum;;Amsterdam;Hendrik Versteeg ;Petrus Georgius van Poolsum ;Wilhelmus Nicasius Kien ;;;;;;;;;;;;;;;;;;;
3071;1739;Jakob van der Mandere;Petronella Geertruid van Berckel;Jakob van der Mandere & Petronella Geertruid van Berckel;;Amsterdam;Jan Huibert Jungius ;Jan Guepin ;;;;;;;;;;;;;;;;;;;;
3072;1739;Wybrand van Itsma;Maria Boef;Wybrand van Itsma & Maria Boef;;;;;;;;;;;;;;;;;;;;;;;;
3073;1739;Willem Munter;Catharina Cornelia Backer;Willem Munter & Catharina Cornelia Backer;;;Hendrik Snakenburg ;;;;;;;;;;;;;;;;;;;;;
3074;1739;Willem Munter;Catharina Cornelia Backer;Willem Munter & Catharina Cornelia Backer;;;;;;;;;;;;;;;;;;;;;;;;
3075;1739;Arnout van Baeck;Maria van Bockom;Arnout van Baeck & Maria van Bockom;;Amsterdam;Frederik Wilhelm Westhovius ;;;;;;;;;;;;;;;;;;;;;
3076;1739;Arnout van Baeck;Maria van Bockom;Arnout van Baeck & Maria van Bockom;;;Adriaan Heckenhoek ;;;;;;;;;;;;;;;;;;;;;
3077;1739;Lambertus van Yzendoorn;Anna Wor;Lambertus van Yzendoorn & Anna Wor;;;Sibrecht Buys ;;;;;;;;;;;;;;;;;;;;;
3078;1739;Silvester Aemilius ten Brink;Anna Magteld Roelink;Silvester Aemilius ten Brink & Anna Magteld Roelink;;Middelburg;Jacob Joan Fockinck ;;;;;;;;;;;;;;;;;;;;;
3079;1739;Simon onder de Linden;Mondina den Raven;Simon onder de Linden & Mondina den Raven;;Amsterdam;Adriaan Heckenhoek ;Henricus Iz Leembrugge ;;;;;;;;;;;;;;;;;;;;
3080;1740;Nicolaas Tetterode;Anna Cornelia Elisabeth Marcus;Nicolaas Tetterode & Anna Cornelia Elisabeth Marcus;;Amsterdam;Jan Biman ;Hendrik Callenbach ;B. Clamator ;Pieter Straat ;;;;;;;;;;;;;;;;;;
3081;1740;Samuel Abrahamsz Tak;Petronella Oudenaerde;Samuel Abrahamsz Tak & Petronella Oudenaerde;;Amsterdam;Dirk Smits ;P.V. Roemer ;;;;;;;;;;;;;;;;;;;;
3082;1740;Jan Frederick de Mey;Wilhelmina Cornelia Du Bois;Jan Frederick de Mey & Wilhelmina Cornelia Du Bois;;Amsterdam;Christoffel Kristiaan Brender à Brandis ;;;;;;;;;;;;;;;;;;;;;
3083;1740;Abraham onder de Linden;Rachel onder de Linden;Abraham onder de Linden & Rachel onder de Linden;;;Frederik Wilhelm Westhovius ;;M.D. Kamp ;;;;;;;;;;;;;;;;;;;
3084;1740;Cornelis van Collen;Maria Jacoba Vallensis;Cornelis van Collen & Maria Jacoba Vallensis;;;A. de Reus ;;;;;;;;;;;;;;;;;;;;;
3085;1740;Josua van der Poorten;Hillegonda Josina van Eik;Josua van der Poorten & Hillegonda Josina van Eik;;Sloterdijk;Justus van Maurik ;Wilhem Suderman ;Pieter van der Schelling ;Gerard Westerwyk ;Kornelis Willemsz Westerbaen ;Isaac Verburg ;Pieter Langendyk ;R. Blok ;Jan van Wylik ;Dirk Smits ;Nikolaes Versteeg;Simon d'Amour ;Frans de Haes (1708-1761);A. Blok ;Gerrit Blaaupot ;Abraham Suderman ;Dirk Willink ;Matthijs Straalman ;E.C.;Frans van Steenwyk ;Abraham de (1707-1748) Haen ;F.B.S.
3086;1740;Jean Lucas Pels;Anna Elisabeth Geelvinck;Jean Lucas Pels & Anna Elisabeth Geelvinck;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
3087;1741;Jacob Cornelisz Dekker;Aaltje Gerrits Mars;Jacob Cornelisz Dekker & Aaltje Gerrits Mars;;;Cornelis Schoon ;;;;;;;;;;;;;;;;;;;;;
3088;1741;Theodorus Beels;Maria van Royen;Theodorus Beels & Maria van Royen;;;Antonius Faber ;Jacob Schim ;Arnold Hoogvliet ;Hendrik Schim ;;;;;;;;;;;;;;;;;;
3089;1741;Theodorus Beels;Maria van Royen;Theodorus Beels & Maria van Royen;;Leimuiden;Jan Jacob Beels ;;;;;;;;;;;;;;;;;;;;;
3090;1741;Willem Brambach;Elisabeth Overbeek;Willem Brambach & Elisabeth Overbeek;;Den Haag;H. Wittemeyer ;;;;;;;;;;;;;;;;;;;;;
3091;1741;Johan Hage;Johanna Magdalena de Mey;Johan Hage & Johanna Magdalena de Mey;;Amsterdam;Jacobus Henricus Dreux ;Kornelis van Koeverden ;Johannes Obreen ;Frans de Haes (1708-1761);Willem de Roo ;;;;;;; ;;;;;;;;;;
3092;1741;Pieter van der Nolk;Cornelia Houthoff;Pieter van der Nolk & Cornelia Houthoff;;Den Haag;Lambert van den Broek ;;;;;;;;;;;;;;;;;;;;;
3093;1741;Jan Borghorst;Maria van Tarelink;Jan Borghorst & Maria van Tarelink;;Dordrecht;;;;;;;;;;;;;;;;;;;;;;
3094;1741;Arend Musketier;Johanna Immerseel;Arend Musketier & Johanna Immerseel;;Den Haag;Johannes Schroder ;Cornelis Izaaksz van den Bogaerd ;Jan de Kruyff ;;;;;;;;;;;;;;;;;;;
3095;1741;Simon Anthoni de Vries;Anna Maria Sonnemaens;Simon Anthoni de Vries & Anna Maria Sonnemaens;;Groningen;Jan Pieter Lobé ;;;;;;;;;;;;;;;;;;;;;
3096;1741;Dirk Farret;Dina Maria Canzius;Dirk Farret & Dina Maria Canzius;;Amsterdam;Henricus Gockinga ;;;;;;;;;;;;;;;;;;;;;
3097;1741;Dirk Farret;Dina Maria Canzius;Dirk Farret & Dina Maria Canzius;;Amsterdam;Jacob Josias Vryburgh van de Kapelle ;Jan de Cerff ;;;;;;;;;;;;;;;;;;;;
3098;1741;Gijsbert Antwerpen Verbrugge;Maria Hooft;Gijsbert Antwerpen Verbrugge & Maria Hooft;;Amsterdam;Kornelis Willemsz Westerbaen ;Govert Klinkhamer ;Dirk Willink ;Dirk van Beek ;Nikolaes Versteeg ;Frans de Haes (1708-1761);Hendrik Houtkamp ;Johannes Meyer ;;;;;;;;;;;;;;
3099;1742;Aegidius van der Dussen;Soethea Francoise Meerman;Aegidius van der Dussen & Soethea Francoise Meerman;;Dordrecht;Delpho-Batavus;;;;;;;;;;;;;;;;;;;;;
3100;1742;Cornelis van Heycop;Sara Pielat;Cornelis van Heycop & Sara Pielat;;Dordrecht;P.L. Pielat ;P. Pluym ;Cornelis Schoon ;Govert Klinkhamer ;;;;;;;;;;;;;;;;;;
3101;1742;Jan Mannoury;Maria Bruynenburgh;Jan Mannoury & Maria Bruynenburgh;;;Pieter Langendyk ;D. Heerde ;Abraham de Haen ;Anthony Bartelink ; ;;;;;;;;;;;;;;;;;
3102;1742;Bernardus de Bosch;Margareta van Leuvenig;Bernardus de Bosch & Margareta van Leuvenig;;Sloterdijk;Gerrit Blaaupot ;Dirk Willink ;R. Blok ;Lucas Anthonisz Pater ;Lambert van den Broek ;;;;;;; ;;;;;;;;;;
3103;1742;Frederik Guillaume baron van Reede Aegrim;Louisa Isabella Hermelina barones van Wassenaar van Duivenvoorde;Frederik Guillaume baron van Reede Aegrim & Louisa Isabella Hermelina barones van Wassenaar van Duivenvoorde;;Amsterdam;Johannes Schroder ;;;;;;;;;;;;;;;;;;;;;
3104;1742;Abraham van Goudswaert;Elisabet Outerman;Abraham van Goudswaert & Elisabet Outerman;;Sloten;Jan de Timmerman ;;;;;;;;;;;;;;;;;;;;;
3105;1742;Paulus s' Graeuwen;Judith Schluiter;Paulus s' Graeuwen & Judith Schluiter;;;Jan Melchiorsz van den Bosch ;;;;;;;;;;;;;;;;;;;;;
3106;1742;Hendrik Das;Sara Bernardina Luykink;Hendrik Das & Sara Bernardina Luykink;;Alkmaar;Junior P.V.H.;Jan Luyken ;T. Hanius ;Everard Janszoon de Burlett ;Jan Koekebakker ;Adriaan Koekebakker ;H.C.;Everard de Burlett de jonge ;R. Blok ;Hendrik Houtkamp ;Jan Jacobsz de Groot ;Johanna Magdalena Koekebakker;Petrus Schregardus ;;;;;;;;;
3107;1742;Hendrik Baalde;Willemina Vink;Hendrik Baalde & Willemina Vink;;;;;;;;;;;;;;;;;;;;;;;;
3108;1742;Wiggardus Killewig;Johanna Françoise van Teylingen;Wiggardus Killewig & Johanna Françoise van Teylingen;;Haarlem;Aarnoud de Bock ;;Johan Cornelissen den Ebo ;;;;;;;;;;;;;;;;;;;
3109;1742;Jan Hooft;Maria Margareta Corver;Jan Hooft & Maria Margareta Corver;;;Jan de Marre ;;;;;;;;;;;;;;;;;;;;;
3110;1742;Jan Hooft;Maria Margareta Corver;Jan Hooft & Maria Margareta Corver;;Amsterdam;L. Coster ;;;;;;;;;;;;;;;;;;;;;
3111;1742;Jan Hooft;Maria Margareta Corver;Jan Hooft & Maria Margareta Corver;;;Abraham Titsingh ;;;;;;;;;;;;;;;;;;;;;
